title,old_url,status,archived,hs_category,hs_subcategory,new_path,disposition
How to upload files and make comments?,https://learn.sessionboard.com/en/knowledge-base/7126409-how-to-upload-files-and-make-comments,DRAFT,0,Portal Users,Portals (Legacy),/participants/upload-files,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
April 2024 Release Notes,https://learn.sessionboard.com/en/knowledge-base/9220966-april-2024-release-notes,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/april-2024-release-notes,imported
Will evaluators have the same access to my event that I do as an admin?,https://learn.sessionboard.com/en/knowledge-base/8103129-will-evaluators-have-the-same-access-to-my-event-that-i-do-as-an-admin,PUBLISHED,0,Frequently Asked Questions,,/faq/will-evaluators-have-the-same-access-to-my-event-that-i-do-as-an-admin,imported
What is the recommended size for contact headshots?,https://learn.sessionboard.com/en/knowledge-base/9424564-what-is-the-recommended-size-for-contact-headshots,PUBLISHED,0,Frequently Asked Questions,,/faq/what-is-the-recommended-size-for-contact-headshots,imported
(Updated),https://learn.sessionboard.com/en/knowledge-base/updated,DRAFT,0,,,/faq/updated,draft-hold
[VIDEO] Portals (Pro),https://learn.sessionboard.com/en/knowledge-base/portals-pro,PUBLISHED,0,Training Videos,Portals,/videos/portals-pro,imported
InGo Integration,https://learn.sessionboard.com/en/knowledge-base/ingo-integration,PUBLISHED,0,Integrations,,/apps/ingo-integration,imported
Settings - Submission Form (enabled upon request),https://learn.sessionboard.com/en/knowledge-base/9269180-submission-form-settings,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/submission-form-settings,imported
Converting a Session to a Subsession,https://learn.sessionboard.com/en/knowledge-base/7225404-converting-a-session-to-a-subsession,PUBLISHED,0,Feature Overview Guides,Subsessions,/sessions/converting-a-session-to-a-subsession,imported
Starter Guide: Portals 101,https://learn.sessionboard.com/en/knowledge-base/6284020-configure-customize-portals,PUBLISHED,0,Feature Overview Guides,Portal,/portals/portals-101,hand-migrated
Create & Share Wiki Pages/Resources,https://learn.sessionboard.com/en/knowledge-base/6284066-assign-pages,PUBLISHED,0,Feature Overview Guides,Portal,/portals/assign-pages,imported
How to change my portal username or email?,https://learn.sessionboard.com/en/knowledge-base/8215271-how-to-change-my-portal-username-or-email,PUBLISHED,0,Portal Users,,/participants/how-to-change-my-portal-username-or-email,imported
How to download headshots?,https://learn.sessionboard.com/en/knowledge-base/9174392-how-to-download-headshots,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-download-headshots,imported
Swoogo Integration,https://learn.sessionboard.com/en/knowledge-base/6284041-swoogo-integration,PUBLISHED,0,Integrations,,/apps/swoogo-integration,imported
Who can I contact for additional assistance?,https://learn.sessionboard.com/en/knowledge-base/8103102-who-can-i-contact-for-additional-assistance,PUBLISHED,0,Frequently Asked Questions,,/faq/who-can-i-contact-for-additional-assistance,imported
November 2024 Release Notes,https://learn.sessionboard.com/en/knowledge-base/release-notes-november-2024,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/release-notes-november-2024,imported
What question is your article answering?,https://learn.sessionboard.com/en/knowledge-base,DRAFT,0,,,/faq/knowledge-base,draft-hold
Zapier Integration,https://learn.sessionboard.com/en/knowledge-base/zapier-integration,PUBLISHED,0,Integrations,,/integrations/zapier,hand-migrated
Create & Send Emails,https://learn.sessionboard.com/en/knowledge-base/6977084-creating-sending-emails,PUBLISHED,0,Feature Overview Guides,Emails & SMS Messages,/communications/create-send-emails,hand-migrated
I created a new contact. Why do I not see them within the Speakers module?,https://learn.sessionboard.com/en/knowledge-base/8935698-i-created-a-new-contact-why-do-i-not-see-them-within-the-speakers-module,PUBLISHED,0,Frequently Asked Questions,,/faq/i-created-a-new-contact-why-do-i-not-see-them-within-the-speakers-module,imported
Create & Assign Speakers,https://learn.sessionboard.com/en/knowledge-base/6283840-creating-assigning-speakers,PUBLISHED,0,Feature Overview Guides,Speakers,/speakers/create-assign-speakers,hand-migrated
Stova Integration,https://learn.sessionboard.com/en/knowledge-base/9359227-stova-integration,PUBLISHED,0,Integrations,,/apps/stova-integration,imported
Viewing Subsessions Within the Agenda,https://learn.sessionboard.com/en/knowledge-base/7225409-viewing-subsessions-within-the-agenda,PUBLISHED,0,Feature Overview Guides,Subsessions,/sessions/viewing-subsessions-within-the-agenda,imported
May 2024 Release Notes (V2),https://learn.sessionboard.com/en/knowledge-base/9375579-may-2024-release-notes-pt-2,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/may-2024-release-notes-pt-2,imported
Create A Subsession,https://learn.sessionboard.com/en/knowledge-base/7224646-create-a-subsession,PUBLISHED,0,Feature Overview Guides,Subsessions,/sessions/create-a-subsession,imported
ADD ON: Speaker CRM Overview,https://learn.sessionboard.com/en/knowledge-base/8576387-add-on-speaker-crm,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/overview,hand-migrated
How to edit my application?,https://learn.sessionboard.com/en/knowledge-base/7436250-how-to-edit-my-application,DRAFT,0,Portal Users,Portals (Legacy),/participants/edit-submission,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
July 2024 Release Notes,https://learn.sessionboard.com/en/knowledge-base/9516266-july-release-notes,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/july-release-notes,imported
[VIDEO] Custom Portals,https://learn.sessionboard.com/en/knowledge-base/video-custom-portals,PUBLISHED,0,Training Videos,Portals,/videos/video-custom-portals,imported
(PP)How to upload files and make comments?,https://learn.sessionboard.com/en/knowledge-base/updated-portals-how-to-upload-files-and-make-comments,DRAFT,0,Portal Users,,/participants/upload-files,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
February 2025 Release Notes,https://learn.sessionboard.com/en/knowledge-base/february-2025-release-notes,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/february-2025-release-notes,imported
Understanding Filtering Options in Portals,https://learn.sessionboard.com/en/knowledge-base/what-do-the-portal-filter-options-mean,DRAFT,0,Frequently Asked Questions,,/portals/portals-101,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
Add a character limit to a field,https://learn.sessionboard.com/en/knowledge-base/add-a-field-character-capactiy,PUBLISHED,0,Frequently Asked Questions,,/faq/add-a-field-character-capactiy,imported
How to Merge Duplicate Contacts,https://learn.sessionboard.com/en/knowledge-base/dedupe-contacts,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/merge-duplicates,hand-migrated
How to view what tasks have been completed?,https://learn.sessionboard.com/en/knowledge-base/how-to-view-what-tasks-have-been-completed,DRAFT,0,Frequently Asked Questions,,/faq/how-to-track-task-completion-in-the-event-portal,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
April 2025 Release Notes (V1),https://learn.sessionboard.com/en/knowledge-base/april-2025-release-notes,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/april-2025-release-notes,imported
Unique Contacts,https://learn.sessionboard.com/en/knowledge-base/unique-contacts,DRAFT,0,,,/contacts/unique-contacts,draft-hold
Why can't a portal user see any tasks assigned to them?,https://learn.sessionboard.com/en/knowledge-base/8890801-why-can-t-a-portal-user-see-any-tasks-assigned-to-them,PUBLISHED,0,Frequently Asked Questions,,/faq/why-can-t-a-portal-user-see-any-tasks-assigned-to-them,imported
"History (Emails, SMS, & Audit)",https://learn.sessionboard.com/en/knowledge-base/8117435-email-sms-history,PUBLISHED,0,Feature Overview Guides,Emails & SMS Messages,/communications/email-sms-history,imported
ADD ON: SSO (Single Sign-On),https://learn.sessionboard.com/en/knowledge-base/8695295-add-on-sso-single-sign-on,PUBLISHED,0,Integrations,,/integrations/sso,hand-migrated
Sessionboard Overview,https://learn.sessionboard.com/en/knowledge-base/6283099-sessionboard-overview,PUBLISHED,0,Feature Overview Guides,,/get-started/overview,hand-migrated
Exporting Data,https://learn.sessionboard.com/en/knowledge-base/7048125-exporting-data,PUBLISHED,0,Feature Overview Guides,General,/reporting/exporting-data,imported
New Client Onboarding Checklist,https://learn.sessionboard.com/en/knowledge-base/7198497-new-client-onboarding-checklist,PUBLISHED,0,Training Videos,,/get-started/onboarding-checklist,hand-migrated
[VIDEO] Fields,https://learn.sessionboard.com/en/knowledge-base/video,PUBLISHED,0,Training Videos,Fields,/videos/video,imported
Editing Uploaded Files in Sessionboard,https://learn.sessionboard.com/en/knowledge-base/can-i-edit-uploaded-content,DRAFT,0,Feature Overview Guides,Session File Management,/participants/upload-files,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Create Documents,https://learn.sessionboard.com/en/knowledge-base/document-generation,PUBLISHED,0,Feature Overview Guides,Documents,/documents/document-generation,imported
Add & Delete A Contact,https://learn.sessionboard.com/en/knowledge-base/7348582-add-delete-a-contact,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/add-delete-a-contact,imported
Does Sessionboard offer conditional logic?,https://learn.sessionboard.com/en/knowledge-base/8103110-does-sessionboard-offer-conditional-logic,PUBLISHED,0,Frequently Asked Questions,,/faq/does-sessionboard-offer-conditional-logic,imported
Create Applications,https://learn.sessionboard.com/en/knowledge-base/7281651-create-applications,PUBLISHED,0,Feature Overview Guides,Applications,/applications/create-applications,imported
Create A Sponsor & Exhibitor Intake Form,https://learn.sessionboard.com/en/knowledge-base/7908662-create-a-sponsor-exhibitor-intake-form,DRAFT,1,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/sponsor-intake-form,draft-hold; HubSpot 301 is broken (doubled path) and it has external backlinks, so pointed at the published intake-form article until the draft ships
Build and manage your agenda,https://learn.sessionboard.com/en/knowledge-base/6284026-build-and-manage-your-agenda,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/agenda,hand-migrated
Contacts Module Overview,https://learn.sessionboard.com/en/knowledge-base/7045551-people-module-overview,DRAFT,0,Feature Overview Guides,Contacts Module,/contacts/contact-profile,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
[VIDEO] Settings - Email Templates,https://learn.sessionboard.com/en/knowledge-base/video-email-templates,PUBLISHED,0,Training Videos,Settings,/videos/video-email-templates,imported
Updated Portal: Collect Documents/File Requests,https://learn.sessionboard.com/en/knowledge-base/collect-documents/file-requests,DRAFT,1,,,/portals/collect-documents,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
How can I switch between portals I am assigned?,https://learn.sessionboard.com/en/knowledge-base/updated-portals,PUBLISHED,0,Portal Users,,/participants/updated-portals,imported
How to edit my application?,https://learn.sessionboard.com/en/knowledge-base/pp-1,PUBLISHED,0,Feature Overview Guides,Applications,/applications/pp-1,imported
Assigning Tasks to Contacts and Groups (Including Bulk Assignments),https://learn.sessionboard.com/en/knowledge-base/task-assignment,PUBLISHED,0,Feature Overview Guides,Portal,/portals/task-assignment,imported
Conflict Detection,https://learn.sessionboard.com/en/knowledge-base/8113698-conflict-detection,DRAFT,1,Feature Overview Guides,Sessions Module,/sessions/agenda,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Adding existing contacts to a new event,https://learn.sessionboard.com/en/knowledge-base/9012599-adding-existing-contacts-to-a-new-event,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/adding-existing-contacts-to-a-new-event,imported
Exhibitor Intake Form,https://learn.sessionboard.com/en/knowledge-base/6283901-exhibitor-intake-form,PUBLISHED,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/exhibitor-intake-form,imported
How do I share my submission form?,https://learn.sessionboard.com/en/knowledge-base/8103122-how-do-i-share-my-submission-form,PUBLISHED,0,Frequently Asked Questions,,/faq/how-do-i-share-my-submission-form,imported
Module Table Views,https://learn.sessionboard.com/en/knowledge-base/6985836-dashboard-views,PUBLISHED,0,Feature Overview Guides,General,/reporting/dashboard-views,imported
Upload & Share Portal Files,https://learn.sessionboard.com/en/knowledge-base/6284065-share-files,PUBLISHED,0,Feature Overview Guides,Portal,/portals/share-files,imported
September 2024 Release Notes,https://learn.sessionboard.com/en/knowledge-base/9823467-september-release-notes,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/september-release-notes,imported
Understanding the Contact Profile in Sessionboard,https://learn.sessionboard.com/en/knowledge-base/7240120-contact-profile-overview,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/contact-profile,hand-migrated
March 2024 Release Notes (V2),https://learn.sessionboard.com/en/knowledge-base/9077353-march-2024-release-notes-pt-2,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/march-2024-release-notes-pt-2,imported
Portal Apperance Settings,https://learn.sessionboard.com/en/knowledge-base/portal-apperance-settings,DRAFT,1,,,/portals/portal-apperance-settings,draft-hold
How to view & edit my session submission form?,https://learn.sessionboard.com/en/knowledge-base/pp-how-to-view-edit-my-session-submission-form,PUBLISHED,0,Portal Users,,/participants/edit-submission,hand-migrated
How To Create and Delete Custom Fields,https://learn.sessionboard.com/en/knowledge-base/9269312-how-to-create-and-delete-custom-fields,PUBLISHED,0,Frequently Asked Questions,,/faq/how-to-create-and-delete-custom-fields,imported
I want to give colleagues access to my sponsors/exhibitor portal.,https://learn.sessionboard.com/en/knowledge-base/7110258-i-want-to-give-colleagues-access-to-my-sponsors-exhibitor-portal,DRAFT,0,Portal Users,Portals (Legacy),/participants/exhibitor-portal,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Understanding A Portal Task,https://learn.sessionboard.com/en/knowledge-base/8114242-understanding-a-portal-task,DRAFT,0,Portal Users,Portals (Legacy),/participants/updated-portal,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Additional Contacts,https://learn.sessionboard.com/en/knowledge-base/8843747-additional-contacts,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/additional-contacts,imported
Settings - Portals (enabled upon request),https://learn.sessionboard.com/en/knowledge-base/9269181-portal-settings,PUBLISHED,0,Feature Overview Guides,Event Settings,/settings/portal-settings,imported
Create & Assign Portal Forms,https://learn.sessionboard.com/en/knowledge-base/6985233-create-assign-forms,PUBLISHED,0,Feature Overview Guides,Portal,/portals/create-assign-forms,imported
Create Exhibitor Groups & Contacts,https://learn.sessionboard.com/en/knowledge-base/8118022-adding-exhibitor-groups-contacts,PUBLISHED,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/adding-exhibitor-groups-contacts,imported
Sponsor Tiers,https://learn.sessionboard.com/en/knowledge-base/8399524-sponsor-settings,PUBLISHED,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/sponsor-settings,imported
March 2025 Release Notes,https://learn.sessionboard.com/en/knowledge-base/march-2025-release-notes,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/march-2025-release-notes,imported
Speaker CRM: Advanced Search,https://learn.sessionboard.com/en/knowledge-base/crm-advanced-search,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/crm-advanced-search,imported
Updated Portal: Exhibitor Intake Form,https://learn.sessionboard.com/en/knowledge-base/exhibitor-intake-form,DRAFT,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/exhibitor-intake-form-2,draft-hold
Draft Submissions,https://learn.sessionboard.com/en/knowledge-base/draft-submissions,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/draft-submissions,imported
Collect Documents/File Requests,https://learn.sessionboard.com/en/knowledge-base/6284064-collect-documents,PUBLISHED,0,Feature Overview Guides,Portal,/portals/collect-documents,imported
How do I upload content to my session and make comments?,https://learn.sessionboard.com/en/knowledge-base/7096260-how-to-upload-content-to-my-session-and-make-comments,DRAFT,0,Portal Users,Portals (Legacy),/participants/upload-files,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Create Sponsor Groups & Contacts,https://learn.sessionboard.com/en/knowledge-base/8117973-adding-sponsor-groups-contacts,PUBLISHED,0,Feature Overview Guides,Exhibitors/Sponsors,/sponsors-exhibitors/sponsors,hand-migrated
Session Participant Roles,https://learn.sessionboard.com/en/knowledge-base/7036520-contact-roles,PUBLISHED,0,Understanding Sessionboard Terms & Roles,,/concepts/participant-roles,hand-migrated
Inviting Users To The Event Portal,https://learn.sessionboard.com/en/knowledge-base/7153924-inviting-users-to-the-event-portal,PUBLISHED,0,Feature Overview Guides,Portal,/portals/inviting-users-to-the-event-portal,imported
How to view and download files from my portal?,https://learn.sessionboard.com/en/knowledge-base/7275310-how-to-view-and-download-files-from-my-portal,DRAFT,0,Portal Users,Portals (Legacy),/participants/pp-how-to-view-and-download-files-from-my-portal,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
SMS Messaging,https://learn.sessionboard.com/en/knowledge-base/7188215-sms-messaging,PUBLISHED,0,Feature Overview Guides,Emails & SMS Messages,/communications/sms-messaging,imported
Updating a Contact’s Email Address vs. Portal Username,https://learn.sessionboard.com/en/knowledge-base/7336448-changing-a-contact-s-email-address,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/changing-a-contact-s-email-address,imported
Speaker CRM: Contact Fields,https://learn.sessionboard.com/en/knowledge-base/creating-crm-fields,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/creating-crm-fields,imported
Speaker CRM: Segments,https://learn.sessionboard.com/en/knowledge-base/crm-segments,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/crm-segments,imported
Speaker CRM: Communications,https://learn.sessionboard.com/en/knowledge-base/crm,PUBLISHED,0,Feature Overview Guides,Speaker CRM,/speaker-crm/crm,imported
How do I upload files to my submission and make comments?,https://learn.sessionboard.com/en/knowledge-base/pp-how-to-upload-content-to-my-session-and-make-comments,PUBLISHED,0,Portal Users,,/participants/upload-files,hand-migrated
Can I collect sponsor/exhibitor payments?,https://learn.sessionboard.com/en/knowledge-base/8103095-can-i-collect-sponsor-exhibitor-payments,PUBLISHED,0,Frequently Asked Questions,,/faq/can-i-collect-sponsor-exhibitor-payments,imported
Create & Manage Evaluation Plans,https://learn.sessionboard.com/en/knowledge-base/7102247-create-manage-evaluation-plans,PUBLISHED,0,Feature Overview Guides,Evaluations,/evaluations/evaluation-plans,hand-migrated
How to unlock an account?,https://learn.sessionboard.com/en/knowledge-base/9269558-unlock-event-users,PUBLISHED,0,Frequently Asked Questions,,/faq/unlock-event-users,imported
"Enable, Upload, & Download Files",https://learn.sessionboard.com/en/knowledge-base/6952482-enable-upload-download-content,PUBLISHED,0,Feature Overview Guides,Session File Management,/sessions/enable-upload-download-content,imported
How to access additional event portals you are associated with?,https://learn.sessionboard.com/en/knowledge-base/8258093-how-to-access-additional-event-portals-you-are-associated-with,DRAFT,0,Portal Users,Portals (Legacy),/participants/pp-how-to-access-additional-event-portals-you-are-associated-with,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
Program Settings,https://learn.sessionboard.com/en/knowledge-base/6988610-session-settings,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/session-settings,imported
(Evaluators) How To Evaluate Sessions,https://learn.sessionboard.com/en/knowledge-base/7142963-evaluators-how-to-evaluate-sessions,PUBLISHED,0,Feature Overview Guides,Evaluations,/evaluations/evaluators-how-to-evaluate-sessions,imported
What is the maximum file size that Sessionboard supports?,https://learn.sessionboard.com/en/knowledge-base/8103092-what-is-the-maximum-file-size-that-sessionboard-supports,PUBLISHED,0,Frequently Asked Questions,,/faq/what-is-the-maximum-file-size-that-sessionboard-supports,imported
Reset Password (User Instructions),https://learn.sessionboard.com/en/knowledge-base/8117424-reset-password-user-instructions,PUBLISHED,0,Feature Overview Guides,Event Team Access & Permissions,/event-team/reset-password-user-instructions,imported
Grip Integration,https://learn.sessionboard.com/en/knowledge-base/6475515-grip-integration,PUBLISHED,0,Integrations,,/apps/grip-integration,imported
Sponsor/Exhibitor Profile Form,https://learn.sessionboard.com/en/knowledge-base/7183362-sponsor-exhibitor-profile-form,DRAFT,1,Feature Overview Guides,General,/sponsors-exhibitors/sponsor-intake-form,draft-hold; HubSpot 301 is broken (doubled path) and it has external backlinks, so pointed at the published intake-form article until the draft ships
Starter Guide: Portals 101,https://learn.sessionboard.com/en/knowledge-base/updated-portal-configure-customize-portals,DRAFT,1,,,/portals/portals-101,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
ADD ON: Custom Email Domain,https://learn.sessionboard.com/en/knowledge-base/7020141-add-on-custom-email-domain,PUBLISHED,0,Feature Overview Guides,Emails & SMS Messages,/communications/add-on-custom-email-domain,imported
March 2024 Release Notes (V1),https://learn.sessionboard.com/en/knowledge-base/8999912-march-2024-release-notes-pt-1,PUBLISHED,0,Product Release Notes,2024 Release Notes,/release-notes/march-2024-release-notes-pt-1,imported
Create & Assign Tasks,https://learn.sessionboard.com/en/knowledge-base/6284057-assign-tasks,PUBLISHED,0,Feature Overview Guides,Portal,/portals/assign-tasks,imported
How do I save a contact field (i.e. Biography)?,https://learn.sessionboard.com/en/knowledge-base/8935706-how-do-i-save-a-field,PUBLISHED,0,Frequently Asked Questions,,/faq/how-do-i-save-a-field,imported
Gleanin Integration,https://learn.sessionboard.com/en/knowledge-base/6284048-gleanin-integration,PUBLISHED,0,Integrations,,/apps/gleanin-integration,imported
Agenda & Speaker Embeds,https://learn.sessionboard.com/en/knowledge-base/6949616-agenda-speaker-embeds,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/embeds,hand-migrated
Can end users submit more than one submission?,https://learn.sessionboard.com/en/knowledge-base/8854360-can-end-users-submit-more-than-one-submission,PUBLISHED,0,Frequently Asked Questions,,/faq/can-end-users-submit-more-than-one-submission,imported
Custom Field Mapping,https://learn.sessionboard.com/en/knowledge-base/9860064-custom-field-mapping,DRAFT,0,Integrations,,/integrations/overview,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
Create Custom Portals,https://learn.sessionboard.com/en/knowledge-base/7993011-creating-custom-portals,PUBLISHED,0,Feature Overview Guides,Portal,/portals/creating-custom-portals,imported
Invite & Manage Event Team Members,https://learn.sessionboard.com/en/knowledge-base/6283622-invite-manage-event-team-members,PUBLISHED,0,Feature Overview Guides,Event Team Access & Permissions,/event-team/invite-manage-event-team-members,imported
Why are my speakers/sponsors/exhibitors not receiving emails?,https://learn.sessionboard.com/en/knowledge-base/8103114-why-are-my-speakers-sponsors-exhibitors-not-receiving-emails,PUBLISHED,0,Frequently Asked Questions,,/faq/why-are-my-speakers-sponsors-exhibitors-not-receiving-emails,imported
Updated Portal: Create & Assign Portal Forms,https://learn.sessionboard.com/en/knowledge-base/updated-portal-create-assign-portal-forms,DRAFT,1,,,/portals/create-assign-forms,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
How to view and download files from my portal?,https://learn.sessionboard.com/en/knowledge-base/pp-how-to-view-and-download-files-from-my-portal,PUBLISHED,0,Portal Users,,/participants/pp-how-to-view-and-download-files-from-my-portal,imported
How to access additional event portals you are associated with?,https://learn.sessionboard.com/en/knowledge-base/pp-how-to-access-additional-event-portals-you-are-associated-with,PUBLISHED,0,Portal Users,,/participants/pp-how-to-access-additional-event-portals-you-are-associated-with,imported
April 2025 Release Notes (V2),https://learn.sessionboard.com/en/knowledge-base/april-release-notes-pt-2,PUBLISHED,0,Product Release Notes,2025 Release Notes,/release-notes/april-release-notes-pt-2,imported
[Template] Month + Year Release Notes,https://learn.sessionboard.com/en/knowledge-base/template-month-year-release-notes,DRAFT,0,,,/release-notes/overview,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
Create Custom Reports,https://learn.sessionboard.com/en/knowledge-base/8511275-creating-custom-reports,PUBLISHED,0,Feature Overview Guides,General,/reporting/custom-reports,hand-migrated
Create a session submission form,https://learn.sessionboard.com/en/knowledge-base/6284018-create-a-session-submission-form,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/submission-forms,hand-migrated
Swapcard Integration,https://learn.sessionboard.com/en/knowledge-base/6281974-swapcard-integration,PUBLISHED,0,Integrations,,/apps/swapcard-integration,imported
New User Login Instructions,https://learn.sessionboard.com/en/knowledge-base/6283113-new-user-login,PUBLISHED,0,Feature Overview Guides,Event Team Access & Permissions,/event-team/new-user-login,imported
ASP Integration,https://learn.sessionboard.com/en/knowledge-base/6415276-asp-integration,PUBLISHED,0,Integrations,,/apps/asp-integration,imported
Create a Session,https://learn.sessionboard.com/en/knowledge-base/7036224-adding-a-session-manually,PUBLISHED,0,Feature Overview Guides,Sessions Module,/sessions/create-a-session,hand-migrated
Add A Moderator & Chairperson,https://learn.sessionboard.com/en/knowledge-base/7041977-add-a-moderator-chairperson,PUBLISHED,0,Feature Overview Guides,Contacts Module,/contacts/add-a-moderator-chairperson,imported
Viewing Subsessions Within The Agenda (VIDEO),https://learn.sessionboard.com/en/knowledge-base/7239169-viewing-subsessions-within-the-agenda-video,DRAFT,1,Feature Overview Guides,General,/sessions/viewing-subsessions-within-the-agenda,draft-hold; repointed: never publicly live (draft) and broken in HubSpot; nearest published article
Subscribe To Feed,https://learn.sessionboard.com/en/knowledge-base/7054349-subscribe-to-feed,DRAFT,0,Feature Overview Guides,General,/release-notes/overview,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
How to view a wiki page within my portal?,https://learn.sessionboard.com/en/knowledge-base/7275021-how-to-view-a-wiki-page-within-my-portal,DRAFT,0,Portal Users,Portals (Legacy),/participants/updated-portals-1,draft-hold; repointed: broken/404 in HubSpot today; nearest published article
